date,provname,provabb,provcode,item,itemid,transformation,transformationid,val
1901,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1901,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1901,Alberta,AB,48,Population,2,linear,1,73000
1901,Alberta,AB,48,Population,2,log,2,11.1982147201305
1901,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1901,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1901,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.34261945684859
1901,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.2067547681283
1901,Alberta,AB,48,Employment,5,linear,1, 
1901,Alberta,AB,48,Employment,5,log,2, 
1901,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1901,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1901,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1901,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1901,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1901,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1901,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1901,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1901,Alberta,AB,48,National Inflation (%),10,linear,1, 
1901,Alberta,AB,48,National Inflation (%),10,log,2, 
1902,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1902,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1902,Alberta,AB,48,Population,2,linear,1,96000
1902,Alberta,AB,48,Population,2,log,2,11.47210347045
1902,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1902,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1902,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.39444321270219
1902,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.22213974541126
1902,Alberta,AB,48,Employment,5,linear,1, 
1902,Alberta,AB,48,Employment,5,log,2, 
1902,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1902,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1902,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1902,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1902,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1902,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1902,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1902,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1902,Alberta,AB,48,National Inflation (%),10,linear,1, 
1902,Alberta,AB,48,National Inflation (%),10,log,2, 
1903,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1903,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1903,Alberta,AB,48,Population,2,linear,1,119000
1903,Alberta,AB,48,Population,2,log,2,11.6868787720937
1903,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1903,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1903,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.42035480627991
1903,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.22974429021971
1903,Alberta,AB,48,Employment,5,linear,1, 
1903,Alberta,AB,48,Employment,5,log,2, 
1903,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1903,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1903,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1903,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1903,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1903,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1903,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1903,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1903,Alberta,AB,48,National Inflation (%),10,linear,1, 
1903,Alberta,AB,48,National Inflation (%),10,log,2, 
1904,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1904,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1904,Alberta,AB,48,Population,2,linear,1,142000
1904,Alberta,AB,48,Population,2,log,2,11.8635823365834
1904,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1904,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1904,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.47217856213351
1904,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.24478222466159
1904,Alberta,AB,48,Employment,5,linear,1, 
1904,Alberta,AB,48,Employment,5,log,2, 
1904,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1904,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1904,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1904,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1904,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1904,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1904,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1904,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1904,Alberta,AB,48,National Inflation (%),10,linear,1, 
1904,Alberta,AB,48,National Inflation (%),10,log,2, 
1905,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1905,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1905,Alberta,AB,48,Population,2,linear,1,166000
1905,Alberta,AB,48,Population,2,log,2,12.0197430673387
1905,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1905,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1905,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.49809072440937
1905,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.25221731234051
1905,Alberta,AB,48,Employment,5,linear,1, 
1905,Alberta,AB,48,Employment,5,log,2, 
1905,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1905,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1905,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1905,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1905,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1905,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1905,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1905,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1905,Alberta,AB,48,National Inflation (%),10,linear,1, 
1905,Alberta,AB,48,National Inflation (%),10,log,2, 
1906,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1906,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1906,Alberta,AB,48,Population,2,linear,1,185000
1906,Alberta,AB,48,Population,2,log,2,12.1281111040605
1906,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1906,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1906,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.57582550514255
1906,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.27419606001962
1906,Alberta,AB,48,Employment,5,linear,1, 
1906,Alberta,AB,48,Employment,5,log,2, 
1906,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1906,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1906,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1906,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1906,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1906,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1906,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1906,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1906,Alberta,AB,48,National Inflation (%),10,linear,1, 
1906,Alberta,AB,48,National Inflation (%),10,log,2, 
1907,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1907,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1907,Alberta,AB,48,Population,2,linear,1,236000
1907,Alberta,AB,48,Population,2,log,2,12.3715870840077
1907,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1907,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1907,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.67947301684974
1907,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.30276953998346
1907,Alberta,AB,48,Employment,5,linear,1, 
1907,Alberta,AB,48,Employment,5,log,2, 
1907,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1907,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1907,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1907,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1907,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1907,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1907,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1907,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1907,Alberta,AB,48,National Inflation (%),10,linear,1, 
1907,Alberta,AB,48,National Inflation (%),10,log,2, 
1908,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1908,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1908,Alberta,AB,48,Population,2,linear,1,266000
1908,Alberta,AB,48,Population,2,log,2,12.4912515877638
1908,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1908,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1908,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.75720836628106
1908,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.3236762258687
1908,Alberta,AB,48,Employment,5,linear,1, 
1908,Alberta,AB,48,Employment,5,log,2, 
1908,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1908,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1908,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1908,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1908,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1908,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1908,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1908,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1908,Alberta,AB,48,National Inflation (%),10,linear,1, 
1908,Alberta,AB,48,National Inflation (%),10,log,2, 
1909,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1909,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1909,Alberta,AB,48,Population,2,linear,1,301000
1909,Alberta,AB,48,Population,2,log,2,12.614865543731
1909,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1909,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1909,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.83494314701423
1909,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.3441546099412
1909,Alberta,AB,48,Employment,5,linear,1, 
1909,Alberta,AB,48,Employment,5,log,2, 
1909,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1909,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1909,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1909,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1909,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1909,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1909,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1909,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1909,Alberta,AB,48,National Inflation (%),10,linear,1, 
1909,Alberta,AB,48,National Inflation (%),10,log,2, 
1910,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1910,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1910,Alberta,AB,48,Population,2,linear,1,336000
1910,Alberta,AB,48,Population,2,log,2,12.7248664389453
1910,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1910,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1910,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,3.93859065872142
1910,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.37082295848751
1910,Alberta,AB,48,Employment,5,linear,1, 
1910,Alberta,AB,48,Employment,5,log,2, 
1910,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1910,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1910,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1910,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1910,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1910,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1910,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1910,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1910,Alberta,AB,48,National Inflation (%),10,linear,1, 
1910,Alberta,AB,48,National Inflation (%),10,log,2, 
1911,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1911,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1911,Alberta,AB,48,Population,2,linear,1,374000
1911,Alberta,AB,48,Population,2,log,2,12.8320110763967
1911,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1911,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1911,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.04223760173047
1911,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.39679840046269
1911,Alberta,AB,48,Employment,5,linear,1, 
1911,Alberta,AB,48,Employment,5,log,2, 
1911,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1911,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1911,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1911,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1911,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1911,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1911,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1911,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1911,Alberta,AB,48,National Inflation (%),10,linear,1, 
1911,Alberta,AB,48,National Inflation (%),10,log,2, 
1912,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1912,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1912,Alberta,AB,48,Population,2,linear,1,4e+05
1912,Alberta,AB,48,Population,2,log,2,12.8992198260901
1912,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1912,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1912,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.22362046286897
1912,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.44069268982649
1912,Alberta,AB,48,Employment,5,linear,1, 
1912,Alberta,AB,48,Employment,5,log,2, 
1912,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1912,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1912,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1912,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1912,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1912,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1912,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1912,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1912,Alberta,AB,48,National Inflation (%),10,linear,1, 
1912,Alberta,AB,48,National Inflation (%),10,log,2, 
1913,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1913,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1913,Alberta,AB,48,Population,2,linear,1,429000
1913,Alberta,AB,48,Population,2,log,2,12.9692121979102
1913,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1913,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1913,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.35317899945574
1913,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.47090638266562
1913,Alberta,AB,48,Employment,5,linear,1, 
1913,Alberta,AB,48,Employment,5,log,2, 
1913,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1913,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1913,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1913,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1913,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1913,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1913,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1913,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1913,Alberta,AB,48,National Inflation (%),10,linear,1, 
1913,Alberta,AB,48,National Inflation (%),10,log,2, 
1914,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1914,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1914,Alberta,AB,48,Population,2,linear,1,459000
1914,Alberta,AB,48,Population,2,log,2,13.0368054890427
1914,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1914,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1914,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.37956204379562
1914,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.47694872938802
1914,Alberta,AB,48,Employment,5,linear,1, 
1914,Alberta,AB,48,Employment,5,log,2, 
1914,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1914,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1914,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1914,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1914,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1914,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1914,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1914,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1914,Alberta,AB,48,National Inflation (%),10,linear,1, 
1914,Alberta,AB,48,National Inflation (%),10,log,2, 
1915,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1915,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1915,Alberta,AB,48,Population,2,linear,1,480000
1915,Alberta,AB,48,Population,2,log,2,13.0815413828841
1915,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1915,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1915,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.45255474452555
1915,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.49347803133923
1915,Alberta,AB,48,Employment,5,linear,1, 
1915,Alberta,AB,48,Employment,5,log,2, 
1915,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,linear,1, 
1915,Alberta,AB,48,Real GDP Per Capita ($ 2020),6,log,2, 
1915,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,linear,1, 
1915,Alberta,AB,48,Real GDP Per Worker ($ 2020),7,log,2, 
1915,Alberta,AB,48,Nominal GDP Per Capita ($),8,linear,1, 
1915,Alberta,AB,48,Nominal GDP Per Capita ($),8,log,2, 
1915,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,linear,1, 
1915,Alberta,AB,48,"Real GDP (Millions, $ 2020)",9,log,2, 
1915,Alberta,AB,48,National Inflation (%),10,linear,1, 
1915,Alberta,AB,48,National Inflation (%),10,log,2, 
1916,Alberta,AB,48,Nominal GDP (Millions),1,linear,1, 
1916,Alberta,AB,48,Nominal GDP (Millions),1,log,2, 
1916,Alberta,AB,48,Population,2,linear,1,496000
1916,Alberta,AB,48,Population,2,log,2,13.1143312057071
1916,Alberta,AB,48,Provincial CPI (2020=100),3,linear,1, 
1916,Alberta,AB,48,Provincial CPI (2020=100),3,log,2, 
1916,Alberta,AB,48,Canada-Wide CPI (2020=100),4,linear,1,4.89051094890511
1916,Alberta,AB,48,Canada-Wide CPI (2020=100),4,log,2,1.58729678655689
1916,Alberta,AB,48,Employment,5,linear,1, 
